"url","title"
"https://localhost:3000/records/most-atp-500-clay-court-appearances","Most ATP 500 Clay Court Appearances"
"https://localhost:3000/records/most-atp-500-grass-court-appearances","Most ATP 500 Grass Court Appearances"
"https://localhost:3000/records/most-atp-500-carpet-court-appearances","Most ATP 500 Carpet Court Appearances"
"https://localhost:3000/records/most-appearances-on-hard-court-davis-cup","Most Appearances on Hard Court Davis Cup"
"https://localhost:3000/records/most-davis-cup-clay-court-appearances","Most Davis Cup Clay Court Appearances"
"https://localhost:3000/records/most-davis-cup-grass-court-appearances","Most Davis Cup Grass Court Appearances"
"https://localhost:3000/records/most-davis-cup-carpet-court-appearances","Most Davis Cup Carpet Court Appearances"
"https://localhost:3000/records/best-winning-percentage","Best Winning Percentage"
"https://localhost:3000/records/best-win-percentage-at-grand-slams","Best Win Percentage at Grand Slams"
"https://localhost:3000/records/best-win-percentage-at-masters-1000","Best Win Percentage at Masters 1000"
"https://localhost:3000/records/best-win-percentage-at-atp-finals","Best Win Percentage at ATP Finals"
"https://localhost:3000/records/best-win-percentage-at-atp-250","Best Win Percentage at ATP 250"
"https://localhost:3000/records/best-win-percentage-at-atp-500","Best Win Percentage at ATP 500"
"https://localhost:3000/records/best-win-percentage-on-hard-court","Best Win Percentage on Hard Court"
"https://localhost:3000/records/best-win-percentage-on-clay-court","Best Win Percentage on Clay Court"
"https://localhost:3000/records/best-win-percentage-on-grass-court","Best Win Percentage on Grass Court"
"https://localhost:3000/records/best-win-percentage-on-carpet-court","Best Win Percentage on Carpet Court"
"https://localhost:3000/records/best-win-percentage-in-quarterfinals","Best Win Percentage in Quarterfinals"
"https://localhost:3000/records/best-win-percentage-in-semifinals","Best Win Percentage in Semifinals"
"https://localhost:3000/records/best-win-percentage-in-finals","Best Win Percentage in Finals"
"https://localhost:3000/records/best-winning-percentage-in-grand-slams-on-hard-court","Best Winning Percentage in Grand Slams on Hard Court"
"https://localhost:3000/records/best-win-percentage-at-roland-garros","Best Win Percentage at Roland Garros"
"https://localhost:3000/records/best-win-percentage-at-wimbledon","Best Win Percentage at Wimbledon"
"https://localhost:3000/records/oldest-players-in-main-draw","Oldest Players in Main Draw"
"https://localhost:3000/records/oldest-players-in-main-draw-at-grand-slam","Oldest Players in Main Draw at Grand Slams"
"https://localhost:3000/records/oldest-players-in-main-draw-at-masters-1000","Oldest Players in Main Draw at Masters 1000"
"https://localhost:3000/records/oldest-players-in-main-draw-at-atp-finals","Oldest Players in Main Draw at ATP Finals"
"https://localhost:3000/records/oldest-players-in-main-draw-at-atp-250","Oldest Players in Main Draw at ATP 250"
"https://localhost:3000/records/oldest-players-in-main-draw-at-atp-500","Oldest Players in Main Draw at ATP 500"
"https://localhost:3000/records/oldest-players-in-main-draw-davis-cup","Oldest Players in Main Draw at Davis Cup"
"https://localhost:3000/records/oldest-players-in-main-draw-on-hard-court","Oldest Players in Main Draw on Hard Court"
"https://localhost:3000/records/oldest-players-in-main-draw-on-clay-court","Oldest Players in Main Draw on Clay Court"
"https://localhost:3000/records/oldest-players-in-main-draw-on-grass-court","Oldest Players in Main Draw on Grass Court"
"https://localhost:3000/records/oldest-players-in-main-draw-on-carpet-court","Oldest Players in Main Draw on Carpet Court"
"https://localhost:3000/records/oldest-r128-players","Oldest R128 Players"
"https://localhost:3000/records/oldest-r64-players","Oldest R64 Players"
"https://localhost:3000/records/oldest-r32-players","Oldest R32 Players"
"https://localhost:3000/records/oldest-r16-players","Oldest R16 Players"
"https://localhost:3000/records/oldest-quarterfinalists","Oldest Quarterfinalists"
"https://localhost:3000/records/oldest-semifinalists","Oldest Semifinalists"
"https://localhost:3000/records/oldest-finalists","Oldest Finalists"
"https://localhost:3000/records/oldest-grand-slam-r128-players","Oldest Grand Slam R128 Players"
"https://localhost:3000/records/oldest-grand-slam-r64-players","Oldest Grand Slam R64 Players"
"https://localhost:3000/records/oldest-grand-slam-r32-players","Oldest Grand Slam R32 Players"
"https://localhost:3000/records/oldest-grand-slam-r16-players","Oldest Grand Slam R16 Players"
"https://localhost:3000/records/oldest-grand-slam-quarterfinalists","Oldest Grand Slam Quarterfinalists"
"https://localhost:3000/records/oldest-grand-slam-semifinalists","Oldest Grand Slam Semifinalists"
"https://localhost:3000/records/oldest-grand-slam-finalists","Oldest Grand Slam Finalists"
"https://localhost:3000/records/oldest-masters-1000-r128-players","Oldest Masters 1000 R128 Players"
"https://localhost:3000/records/oldest-masters-1000-r64-players","Oldest Masters 1000 R64 Players"
"https://localhost:3000/records/oldest-masters-1000-r32-players","Oldest Masters 1000 R32 Players"
"https://localhost:3000/records/oldest-masters-1000-r16-players","Oldest Masters 1000 R16 Players"
"https://localhost:3000/records/oldest-masters-1000-quarterfinalists","Oldest Masters 1000 Quarterfinalists"
"https://localhost:3000/records/oldest-masters-1000-semifinalists","Oldest Masters 1000 Semifinalists"
"https://localhost:3000/records/oldest-masters-1000-finalists","Oldest Masters 1000 Finalists"
"https://localhost:3000/records/oldest-atp-finals-r128-players","Oldest ATP Finals R128 Players"
"https://localhost:3000/records/oldest-atp-finals-r64-players","Oldest ATP Finals R64 Players"
"https://localhost:3000/records/oldest-atp-finals-r32-players","Oldest ATP Finals R32 Players"
"https://localhost:3000/records/oldest-atp-finals-r16-players","Oldest ATP Finals R16 Players"
"https://localhost:3000/records/oldest-atp-finals-quarterfinalists","Oldest ATP Finals Quarterfinalists"
"https://localhost:3000/records/oldest-atp-finals-semifinalists","Oldest ATP Finals Semifinalists"
"https://localhost:3000/records/oldest-atp-finals-finalists","Oldest ATP Finals Finalists"
"https://localhost:3000/records/oldest-atp-250-r128-players","Oldest ATP 250 R128 Players"
"https://localhost:3000/records/oldest-atp-250-r64-players","Oldest ATP 250 R64 Players"
"https://localhost:3000/records/oldest-atp-250-r32-players","Oldest ATP 250 R32 Players"
"https://localhost:3000/records/oldest-atp-250-r16-players","Oldest ATP 250 R16 Players"
"https://localhost:3000/records/oldest-atp-250-quarterfinalists","Oldest ATP 250 Quarterfinalists"
"https://localhost:3000/records/oldest-atp-250-semifinalists","Oldest ATP 250 Semifinalists"
"https://localhost:3000/records/oldest-atp-250-finalists","Oldest ATP 250 Finalists"
"https://localhost:3000/records/oldest-atp-500-r128-players","Oldest ATP 500 R128 Players"
"https://localhost:3000/records/oldest-atp-500-r64-players","Oldest ATP 500 R64 Players"
"https://localhost:3000/records/oldest-atp-500-r32-players","Oldest ATP 500 R32 Players"
"https://localhost:3000/records/oldest-atp-500-r16-players","Oldest ATP 500 R16 Players"
"https://localhost:3000/records/oldest-atp-500-quarterfinalists","Oldest ATP 500 Quarterfinalists"
"https://localhost:3000/records/oldest-atp-500-semifinalists","Oldest ATP 500 Semifinalists"
"https://localhost:3000/records/oldest-atp-500-finalists","Oldest ATP 500 Finalists"
"https://localhost:3000/records/youngest-players-in-main-draw","Youngest Players in Main Draw"
"https://localhost:3000/records/youngest-players-in-main-draw-at-grand-slam","Youngest Players in Main Draw at Grand Slams"
"https://localhost:3000/records/youngest-players-in-main-draw-at-masters-1000","Youngest Players in Main Draw at Masters 1000"
"https://localhost:3000/records/youngest-players-in-main-draw-at-atp-finals","Youngest Players in Main Draw at ATP Finals"
